section,object_name,detail_type,details
S2_columns,documents.source_recording_id,column,"{""udt_name"":""uuid"",""data_type"":""uuid"",""table_name"":""documents"",""column_name"":""source_recording_id"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":10,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,documents.source_type,column,"{""udt_name"":""text"",""data_type"":""text"",""table_name"":""documents"",""column_name"":""source_type"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":9,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,documents.subject_id,column,"{""udt_name"":""uuid"",""data_type"":""uuid"",""table_name"":""documents"",""column_name"":""subject_id"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":8,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,documents.title,column,"{""udt_name"":""text"",""data_type"":""text"",""table_name"":""documents"",""column_name"":""title"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":3,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,documents.user_id,column,"{""udt_name"":""uuid"",""data_type"":""uuid"",""table_name"":""documents"",""column_name"":""user_id"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":2,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,generation_jobs.completed_at,column,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""table_name"":""generation_jobs"",""column_name"":""completed_at"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":13,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,generation_jobs.correlation_id,column,"{""udt_name"":""text"",""data_type"":""text"",""table_name"":""generation_jobs"",""column_name"":""correlation_id"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":9,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,generation_jobs.created_at,column,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""table_name"":""generation_jobs"",""column_name"":""created_at"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""now()"",""ordinal_position"":10,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,generation_jobs.document_id,column,"{""udt_name"":""uuid"",""data_type"":""uuid"",""table_name"":""generation_jobs"",""column_name"":""document_id"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":3,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,generation_jobs.error,column,"{""udt_name"":""text"",""data_type"":""text"",""table_name"":""generation_jobs"",""column_name"":""error"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":8,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
