section,object_name,detail_type,details
SA07_table_privileges,public.document_analysis,table_privilege,"{""grantee"":""service_role"",""grantor"":""postgres"",""relacl_raw"":""{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"",""table_name"":""document_analysis"",""table_owner"":""postgres"",""is_grantable"":false,""table_schema"":""public"",""privilege_type"":""SELECT"",""relacl_is_null"":false}"
SA07_table_privileges,public.document_analysis,table_privilege,"{""grantee"":""service_role"",""grantor"":""postgres"",""relacl_raw"":""{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"",""table_name"":""document_analysis"",""table_owner"":""postgres"",""is_grantable"":false,""table_schema"":""public"",""privilege_type"":""UPDATE"",""relacl_is_null"":false}"
SA07_table_privileges,public.document_analysis,table_privilege,"{""grantee"":""service_role"",""grantor"":""postgres"",""relacl_raw"":""{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"",""table_name"":""document_analysis"",""table_owner"":""postgres"",""is_grantable"":false,""table_schema"":""public"",""privilege_type"":""DELETE"",""relacl_is_null"":false}"
SA07_table_privileges,public.document_analysis,table_privilege,"{""grantee"":""service_role"",""grantor"":""postgres"",""relacl_raw"":""{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"",""table_name"":""document_analysis"",""table_owner"":""postgres"",""is_grantable"":false,""table_schema"":""public"",""privilege_type"":""TRUNCATE"",""relacl_is_null"":false}"
SA07_table_privileges,public.document_analysis,table_privilege,"{""grantee"":""service_role"",""grantor"":""postgres"",""relacl_raw"":""{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"",""table_name"":""document_analysis"",""table_owner"":""postgres"",""is_grantable"":false,""table_schema"":""public"",""privilege_type"":""REFERENCES"",""relacl_is_null"":false}"
SA07_table_privileges,public.document_analysis,table_privilege,"{""grantee"":""service_role"",""grantor"":""postgres"",""relacl_raw"":""{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"",""table_name"":""document_analysis"",""table_owner"":""postgres"",""is_grantable"":false,""table_schema"":""public"",""privilege_type"":""TRIGGER"",""relacl_is_null"":false}"
SA07_table_privileges,public.document_analysis,table_privilege,"{""grantee"":""service_role"",""grantor"":""postgres"",""relacl_raw"":""{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"",""table_name"":""document_analysis"",""table_owner"":""postgres"",""is_grantable"":false,""table_schema"":""public"",""privilege_type"":""MAINTAIN"",""relacl_is_null"":false}"
SA07_table_privileges,public.documents,table_privilege,"{""grantee"":""postgres"",""grantor"":""postgres"",""relacl_raw"":""{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"",""table_name"":""documents"",""table_owner"":""postgres"",""is_grantable"":false,""table_schema"":""public"",""privilege_type"":""INSERT"",""relacl_is_null"":false}"
SA07_table_privileges,public.documents,table_privilege,"{""grantee"":""postgres"",""grantor"":""postgres"",""relacl_raw"":""{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"",""table_name"":""documents"",""table_owner"":""postgres"",""is_grantable"":false,""table_schema"":""public"",""privilege_type"":""SELECT"",""relacl_is_null"":false}"
SA07_table_privileges,public.documents,table_privilege,"{""grantee"":""postgres"",""grantor"":""postgres"",""relacl_raw"":""{postgres=arwdDxtm/postgres,anon=arwdDxtm/postgres,authenticated=arwdDxtm/postgres,service_role=arwdDxtm/postgres}"",""table_name"":""documents"",""table_owner"":""postgres"",""is_grantable"":false,""table_schema"":""public"",""privilege_type"":""UPDATE"",""relacl_is_null"":false}"
